datetime,open,high,low,close,volume
2026-01-21 15:25:00,25152.05,25171.7,25145.8,25168.1,10014877
2026-01-22 09:15:00,25344.15,25355.6,25302.45,25338.0,62915253
2026-01-22 09:25:00,25336.85,25417.25,25327.35,25406.65,24406017
2026-01-22 09:35:00,25408.5,25425.7,25387.0,25395.95,17428306
2026-01-22 09:45:00,25395.05,25435.75,25390.2,25396.45,14246929
2026-01-22 09:55:00,25395.35,25411.65,25363.3,25375.7,11708531
2026-01-22 10:05:00,25374.95,25399.05,25364.45,25376.0,12304821
2026-01-22 10:15:00,25376.5,25388.55,25326.25,25347.8,13679615
2026-01-22 10:25:00,25348.55,25348.8,25245.25,25310.85,15515016
2026-01-22 10:35:00,25311.2,25332.5,25284.65,25295.35,8364175
2026-01-22 10:45:00,25294.85,25298.45,25255.1,25270.95,9971430
2026-01-22 10:55:00,25272.2,25276.7,25216.8,25230.65,8237976
2026-01-22 11:05:00,25230.45,25234.95,25201.9,25215.75,8717770
2026-01-22 11:15:00,25215.95,25265.25,25211.25,25253.7,9082484
2026-01-22 11:25:00,25253.3,25280.55,25232.2,25248.75,8580615
2026-01-22 11:35:00,25248.35,25259.15,25197.8,25206.85,9180261
2026-01-22 11:45:00,25205.9,25226.4,25177.85,25202.45,7348632
2026-01-22 11:55:00,25202.25,25211.35,25183.3,25207.05,8173003
2026-01-22 12:05:00,25207.05,25241.5,25207.05,25237.1,8273941
2026-01-22 12:15:00,25237.15,25277.5,25216.05,25242.4,8653435
2026-01-22 12:25:00,25242.55,25265.75,25236.55,25264.55,7446991
2026-01-22 12:35:00,25263.75,25271.3,25210.45,25244.95,11056213
2026-01-22 12:45:00,25244.75,25262.5,25228.95,25229.1,9613333
2026-01-22 12:55:00,25228.0,25228.5,25190.95,25217.45,6870085
2026-01-22 13:05:00,25217.15,25222.05,25190.45,25191.95,6557033
2026-01-22 13:15:00,25192.05,25208.3,25171.25,25197.15,8113829
2026-01-22 13:25:00,25196.2,25215.85,25169.4,25215.05,7988692
2026-01-22 13:35:00,25214.7,25227.55,25184.15,25204.55,8348200
2026-01-22 13:45:00,25204.05,25239.6,25187.05,25233.4,8352673
2026-01-22 13:55:00,25232.85,25245.0,25220.85,25223.2,9925025
2026-01-22 14:05:00,25223.65,25230.8,25176.95,25178.35,8073226
2026-01-22 14:15:00,25178.8,25207.5,25168.5,25197.95,10785835
2026-01-22 14:25:00,25197.25,25279.0,25195.55,25276.2,9469080
2026-01-22 14:35:00,25274.45,25295.9,25261.05,25284.45,11738832
2026-01-22 14:45:00,25284.1,25318.2,25278.5,25279.55,11972338
2026-01-22 14:55:00,25284.35,25308.1,25238.8,25258.85,20432052
2026-01-22 15:05:00,25257.25,25302.0,25250.45,25288.55,21549482
2026-01-22 15:15:00,25288.45,25332.35,25287.6,25316.65,25875153
2026-01-22 15:25:00,25315.5,25327.5,25311.25,25320.45,10872850
2026-01-23 09:15:00,25344.6,25347.95,25249.1,25320.1,23205346
2026-01-23 09:25:00,25320.45,25345.35,25311.35,25315.4,9924784
2026-01-23 09:35:00,25315.95,25319.25,25283.95,25285.7,9615516
2026-01-23 09:45:00,25287.6,25312.55,25267.7,25281.4,10468775
2026-01-23 09:55:00,25281.5,25304.05,25263.5,25287.95,10785064
2026-01-23 10:05:00,25287.5,25308.65,25276.6,25281.7,9088504
